Author ID,Paper ID,Author,Affiliation,Affiliation Type
37270681400,146361,bill hibbard,"Space Science and Engineering Center, University of Wisconsin, Madison, USA",Academic Institution
37378731100,146361,david santek,"Space Science and Engineering Center, University of Wisconsin, Madison, USA",Academic Institution
38158227200,146359,james lowell helman,"Department of Applied Physics, University of Stanford, Stanford, CA, USA",Academic Institution
37274095200,146359,lambertus hesselink,"Departments of Aeronautics/Astronautics and Electrical Engineering, University of Stanford, Stanford, CA, USA",Academic Institution
37671091700,146360,gordon bancroft,"Sterling Federal Systems, Inc., Palo Alto, CA, USA",Private Corporation
37667865200,146360,fergus merritt,"Sterling Federal Systems, Inc., Palo Alto, CA, USA",Private Corporation
37671091300,146360,todd plessel,"Sterling Federal Systems, Inc., Palo Alto, CA, USA",Private Corporation
38222555400,146360,paul kelaita,"Sterling Federal Systems, Inc., Palo Alto, CA, USA",Private Corporation
38223652700,146360,r.kevin mccabe,"Sterling Federal Systems, Inc., Palo Alto, CA, USA",Private Corporation
38220532900,146360,al globus,"Sterling Federal Systems, Inc., Palo Alto, CA, USA",Private Corporation
38222638800,146362,j.l. montine,"Alliant Computer Systems Corporation, Littleton, MA, USA",Private Corporation
37332039100,146364,yaseen yacoob,"Department of Computer Sciences, University of Maryland, College Park, MD, USA",Academic Institution
37283754100,146363,gregory m. nielson,"Computer Science Department, Arizona State University, Tempe, AZ, USA",Academic Institution
37282068700,146363,bernd hamann,"Computer Science Department, Arizona State University, Tempe, AZ, USA",Academic Institution
38224081700,146366,a.j. maeder,"Computer Imaging Research Laboratory, Department of Computer Science, Monash University, Clayton, Australia",Academic Institution
38226960900,146365,david lamb,"Department of Computer Sciences, State University of New York, Stony Brook, Stony Brook, NY, USA",Academic Institution
38222557000,146365,sivaji bandyopadhyay,"Department of Computer Sciences, State University of New York, Stony Brook, Stony Brook, NY, USA",Academic Institution
38183096100,146367,james v. miller,"Rensselaer Polytechnic Institute, Rensselaer Design Research Center, Troy, NY, USA",Academic Institution
37349884100,146367,david e. breen,"Rensselaer Polytechnic Institute, Rensselaer Design Research Center, Troy, NY, USA",Academic Institution
37349871000,146367,michael j. wozny,"Rensselaer Polytechnic Institute, Rensselaer Design Research Center, Troy, NY, USA",Academic Institution
