Top VISPub Authors,Year,Supervisee,Reference
m. eduard gröller,2021,aleksandr amirkhanov,https://www.cg.tuwien.ac.at/research/theses/#new_phd
m. eduard gröller,2020,thomas ortner,https://www.cg.tuwien.ac.at/research/theses/#new_phd
m. eduard gröller,2020,daniel cornel,https://www.cg.tuwien.ac.at/research/theses/#new_phd
m. eduard gröller,2019,johannes weissenböck,https://www.cg.tuwien.ac.at/research/theses/#new_phd
m. eduard gröller,2019,florian ganglberger,https://www.cg.tuwien.ac.at/research/theses/#new_phd
m. eduard gröller,2018,thomas mühlbacher,https://www.cg.tuwien.ac.at/research/theses/#new_phd
m. eduard gröller,2016,johanna schmidt,https://www.cg.tuwien.ac.at/research/theses/#new_phd
m. eduard gröller,2016,alexey karimov,https://www.cg.tuwien.ac.at/research/theses/#new_phd
m. eduard gröller,2015,andreas reh,https://www.cg.tuwien.ac.at/research/theses/#new_phd
m. eduard gröller,2013,gabriel mistelbauer,https://www.cg.tuwien.ac.at/research/theses/#new_phd
m. eduard gröller,2013,zoltan konyha,https://www.cg.tuwien.ac.at/research/theses/#new_phd
m. eduard gröller,2013,florian schulze,https://www.cg.tuwien.ac.at/research/theses/#new_phd
m. eduard gröller,2012,artem amirkhanov,https://www.cg.tuwien.ac.at/research/theses/#new_phd
m. eduard gröller,2012,andrej varchola,https://www.cg.tuwien.ac.at/research/theses/#new_phd
m. eduard gröller,2012,philipp muigg,https://www.cg.tuwien.ac.at/research/theses/#new_phd
m. eduard gröller,2011,harald piringer,https://www.cg.tuwien.ac.at/research/theses/#new_phd
m. eduard gröller,2011,jürgen waser,https://www.cg.tuwien.ac.at/research/theses/#new_phd
m. eduard gröller,2011,martin haidacher,https://www.cg.tuwien.ac.at/research/theses/#new_phd
m. eduard gröller,2010,jean-paul balabanian,https://www.cg.tuwien.ac.at/research/theses/#new_phd
m. eduard gröller,2009,christoph heinzl,https://www.cg.tuwien.ac.at/research/theses/#new_phd
m. eduard gröller,2009,muhammad muddassir malik,https://www.cg.tuwien.ac.at/research/theses/#new_phd
m. eduard gröller,2009,erald vucini,https://www.cg.tuwien.ac.at/research/theses/#new_phd
m. eduard gröller,2009,johanna beyer,https://www.cg.tuwien.ac.at/research/theses/#new_phd
m. eduard gröller,2022,nicolas grossmann,https://www.cg.tuwien.ac.at/research/theses/#new_phd
kwan-liu ma,2020,senthil chandrasegaran,https://www.cs.ucdavis.edu/~ma/past.html
kwan-liu ma,2019,min shih,https://www.cs.ucdavis.edu/~ma/past.html
kwan-liu ma,2018,jia-kai chou,https://www.cs.ucdavis.edu/~ma/past.html
kwan-liu ma,2018,franz sauer,https://www.cs.ucdavis.edu/~ma/past.html
kwan-liu ma,2018,yi-ling chen,https://www.cs.ucdavis.edu/~ma/past.html
kwan-liu ma,2017,meng du,https://www.cs.ucdavis.edu/~ma/past.html
kwan-liu ma,2015,chris muelder,https://www.cs.ucdavis.edu/~ma/past.html
kwan-liu ma,2014,isaac liao,https://www.cs.ucdavis.edu/~ma/past.html
kwan-liu ma,2012,arnaud sallaberry,https://www.cs.ucdavis.edu/~ma/past.html
kwan-liu ma,2012,yingcai wu,https://www.cs.ucdavis.edu/~ma/past.html
kwan-liu ma,2010,stephane marchesin,https://www.cs.ucdavis.edu/~ma/past.html
kwan-liu ma,2010,carlos correa,https://www.cs.ucdavis.edu/~ma/past.html
