Paper,Supervisee,Supervisor
10.1109/TVCG.2020.3030409,thomas ortner,m. eduard gröller
10.1109/TVCG.2014.2346930,artem konev,m. eduard gröller
10.1109/TVCG.2013.122,johannes kehrer,m. eduard gröller
10.1109/TVCG.2012.254,bilal alsallakh,m. eduard gröller
10.1109/VAST.2012.6400555,gabriel mistelbauer,m. eduard gröller
10.1109/TVCG.2012.261,hrvoje ribicic,m. eduard gröller
10.1109/TVCG.2011.258,martin haidacher,m. eduard gröller
10.1109/TVCG.2011.228,artem amirkhanov,m. eduard gröller
10.1109/TVCG.2011.225,jürgen waser,m. eduard gröller
10.1109/TVCG.2011.216,philipp muigg,m. eduard gröller
10.1109/TVCG.2010.214,artem amirkhanov,m. eduard gröller
10.1109/TVCG.2010.223,jürgen waser,m. eduard gröller
10.1109/TVCG.2009.199,raphael fuchs,m. eduard gröller
10.1109/TVCG.2009.115,laura fritz,m. eduard gröller
10.1109/TVCG.2008.170,daniel patel,m. eduard gröller
10.1109/TVCG.2007.70598,christoph heinzl,m. eduard gröller
10.1109/TVCG.2007.70591,peter rautek,m. eduard gröller
10.1109/TVCG.2007.70576,peter kohlmann,m. eduard gröller
10.1109/TVCG.2007.70555,stefan bruckner,m. eduard gröller
10.1109/TVCG.2007.70550,maurice termeer,m. eduard gröller
10.1109/TVCG.2006.152,ivan viola,m. eduard gröller
10.1109/TVCG.2006.140,stefan bruckner,m. eduard gröller
10.1109/TVCG.2006.123,peter rautek,m. eduard gröller
10.1109/VISUAL.2005.1532856,stefan bruckner,m. eduard gröller
10.1109/VISUAL.2005.1532847,matej mlejnek,m. eduard gröller
10.1109/INFVIS.2005.1532123,georg zotti,m. eduard gröller
10.1109/VISUAL.2004.56,matej mlejnek,m. eduard gröller
10.1109/VISUAL.2004.48,ivan viola,m. eduard gröller
10.1109/VISUAL.2003.1250387,ivan viola,m. eduard gröller
10.1109/VISUAL.2003.1250353,armin kanitsar,m. eduard gröller
10.1109/VISUAL.2002.1183812,armin kanitsar,m. eduard gröller
10.1109/VISUAL.2002.1183754,armin kanitsar,m. eduard gröller
10.1109/INFVIS.2002.1173149,kresimir matkovic,m. eduard gröller
10.1109/VISUAL.2001.964555,armin kanitsar,m. eduard gröller
10.1109/VISUAL.2001.964540,anna vilanova,m. eduard gröller
10.1109/VISUAL.2001.964498,thomas theußl,m. eduard gröller
10.1109/VISUAL.2000.885732,rainer wegenkittl,m. eduard gröller
10.1109/VISUAL.2000.885726,lukas mroz,m. eduard gröller
10.1109/VISUAL.2000.885697,helwig hauser,m. eduard gröller
10.1109/VISUAL.1998.745317,anton l. fuhrmann,m. eduard gröller
10.1109/VISUAL.1997.663897,rainer wegenkittl,m. eduard gröller
