Supervisee Name,Frequency
ed h. chi,4
susan l. havre,3
william j. schroeder,3
chris bryan,3
joe michael kniss,3
sarah goodwin,3
taosong he,3
petra isenberg,3
jian zhao 0010,3
christoph garth,3
jessica hullman,3
ricardo s. avila,3
david c. banks,3
siming chen 0001,3
nathalie henry riche,3
hanqi guo 0001,3
daniel a. keim,3
mei c. chuah,3
melanie tory,3
kevin montgomery,3
carlos d. correa,3
filip sadlo,3
gerik scheuermann,3
wenwen dou,3
ken museth,3
daniela oelke,3
martin isenburg,3
po-ming law,3
dylan cashman,2
douglass davis,2
samuel huron,2
ross maciejewski,2
sriram karthik badam,2
david n. kenwright,2
roni yagel,2
emily wall,2
eric b. lum,2
david akers,2
soon tee teoh,2
dominik sacha,2
donghao ren,2
klaus mueller,2
steffen hadlak,2
thomas c. sprenger,2
baoquan chen,2
basak alper,2
boonthanome nouanesengsy,2
tommy dang,2
tomihisa welsh,2
bruno jobard,2
thomas schultz 0001,2
thomas mühlbacher,2
thomas gerstner,2
charles d. stolper,2
steffen oeltze-jafra,2
charles perin,2
tatiana von landesberger,2
chris stolte,2
t. j. jankun-kelly,2
christophe hurter,2
christopher olston,2
sung-eui yoon,2
steven bergner,2
cong xie,2
robert s. laramee,2
gill barequet,2
fernando vieira paulovich,2
martin kraus,2
ming-yuen chan,2
ming wan,2
michail schwab,2
jihad el-sana,2
jing yang 0001,2
michael sedlmair,2
mennatallah el-assady,2
mengchen liu,2
maurice termeer,2
josua krause,2
markus glatter,2
mosab khayat,2
kai lawonn,2
kalpathi r. subramanian,2
marian dörk,2
marco ament,2
klaus engel,2
krist wongsuphasawat,2
kwan-liu ma,2
lukas mroz,2
laurent castanie,2
liang gou,2
miriah d. meyer,2
jason d. wood,2
remco chang,2
philipp muigg,2
randy k. scoggins,2
ralf kähler,2
qiaomu shen,2
ayan biswas,2
purvi saraiya,2
prithiviraj k. muthumanickam,2
prashant chopra,2
gromit yeuk-yin chan,2
guangfeng ji,2
phong h. nguyen,2
hadley wickham,2
jaemin jo,2
hamish a. carr,2
han-wei shen,2
hans-georg pagendarm,2
heidi lam,2
heike leitte,2
helwig hauser,2
huamin qu,2
hui xie 0001,2
oliver g. staadt,2
j. edward swan,2
bahador saket,2
roger crawfis,2
alark joshi,2
abish malik,2
alexander lex,2
alper sarikaya,2
alethea bair,2
andrea batch,2
xiaoming wei,2
arthur van goethem,2
xumeng wang,2
xuanwu yue,2
aidong lu,2
yalong yang 0001,2
arjun srinivasan,2
yehuda koren,2
zhicheng liu,2
alexander kumpf,2
alex t. pang,2
zuchao wang,2
amitabh varshney,2
anton l. fuhrmann,2
norman j. zabusky,1
yuqun chen,1
octavio juarez espinosa,1
nivedita r. kadaba,1
norbert lindow,1
nivedita sahasrabudhe,1
yuyan song,1
nivan ferreira,1
nils thune,1
ofri sadowsky,1
weichao wang,1
ola nilsson,1
olav lenz,1
olga sorkine-hornung,1
yuntao jia,1
oliver kreylos,1
oliver staubli,1
nikolai a. svakhine,1
ove daae lampe,1
ovidio mallo,1
ozan ersoy,1
p. samuel quinan,1
pablo roman,1
pak chung wong,1
panpan xu,1
paola valdivia,1
nils rodrigues,1
neal e. hurlburt,1
niklas elmqvist,1
monika jankun-kelly,1
yves jean,1
naim alper,1
nafees ahmed,1
mustafa bilgic 0001,1
moritz ehlke,1
monique meuschke,1
monika hannemann,1
nicu d. cornea,1
monika büscher,1
monica tavanti,1
monica k. hurdal,1
mohammad h. ghavamnia,1
mohammad ghoniem,1
mitchell roth,1
nan cao,1
nan zhang 0011,1
narges mahyar,1
natascha sauber,1
nate hoobler,1
yuzuru tanahashi,1
nathalie prevost,1
nathan conklin,1
nathan gossett,1
nathan litke,1
nathaniel fout,1
nazanin kadivar,1
yun wang 0012,1
nelson wong,1
nicholas kong,1
nico pietroni,1
nicole jardine,1
paolo angelelli,1
pascal goffin,1
yubo tao,1
yinggang li,1
philipp koytek,1
philip peterson,1
philip m. sutton,1
philip j. mercurio,1
philip c. hsu,1
philip a. legg,1
yingmei lavin,1
peter schröder,1
peter rautek,1
yong wang 0021,1
peter rander,1
peter lüders,1
peter lindstrom,1
peter kohlmann,1
peter kochevar,1
philipp meschenmoser,1
philipp schlegel,1
yong zhou 0001,1
yingcai xiao,1
yen-ting kuan,1
qian chen 0022,1
yi han 0005,1
yifan zhang 0007,1
praveen r. thiagarajan,1
praveen bhaniramka,1
ying tu,1
pramod m. mahadev,1
poonam shanbhag,1
polina kondratieva,1
ying-huey fua,1
ping-kang hsiung,1
pierre accorsi,1
yingcai wu,1
pier francesco cortese,1
peter bak,1
peter a. rona,1
paolo brivio,1
yu-hsuan chan,1
yu-shuen wang,1
paul bendich,1
paul a. navrátil,1
paul a. hinker,1
patrizia palamidese,1
patrick riehmann,1
patrick oesterling,1
patrick köthur,1
patrick j. moran,1
patrick hoffman,1
patricia crossno,1
patric ljung,1
pascale proulx,1
pascal nardini,1
mingdong zhang,1
paul chapman,1
youwei zhang,1
yongsu ahn,1
paul craig,1
peter a. fletcher,1
pepe eulzer,1
peer-timo bremer,1
yootai kim,1
pavol klacansky,1
youn ah kang,1
paulo joia,1
