Supervisor Name,Frequency
m. eduard gröller,27
arie e. kaufman,21
thomas ertl,18
kwan-liu ma,17
cláudio t. silva,17
huamin qu,16
jarke j. van wijk,16
helwig hauser,15
david s. ebert,13
gerik scheuermann,12
valerio pascucci,12
rüdiger westermann,12
kenneth i. joy,12
john t. stasko,11
daniel weiskopf,11
sheelagh carpendale,11
hans hagen,11
han-wei shen,11
daniel a. keim,11
klaus mueller,11
hanspeter pfister,10
tamara munzner,9
ben shneiderman,8
jeffrey heer,8
niklas elmqvist,8
remco chang,8
wolfgang straßer,7
dinesh manocha,7
lambertus hesselink,7
alex t. pang,7
chris north 0001,7
jean-daniel fekete,7
min chen 0001,7
hans-peter seidel,6
bernhard preim,6
pat hanrahan,6
bernd hamann,6
hans-christian hege,6
charles d. hansen,6
tobias isenberg 0001,6
penny rheingans,6
yingcai wu,6
stefan bruckner,5
matthew o. ward,5
anders ynnerman,5
ross t. whitaker,5
michael gleicher,5
dieter schmalstieg,5
roger crawfis,5
torsten möller,5
david h. laidlaw,5
raghu machiraju,5
markus h. gross,5
amitabh varshney,5
enrico bertini,5
xiaoru yuan,5
daniel f. keefe,4
renato pajarola,4
elke a. rundensteiner,4
craig gotsman,4
christopher collins 0001,4
william ribarsky,4
harald piringer,4
robert j. moorhead ii,4
ivan viola,4
deborah silver,4
duen horng chau,4
roni yagel,4
frits h. post,4
steven franconeri,4
hong qin,4
aditi majumder,4
markus hadwiger,4
alexandru telea,4
maneesh agrawala,4
timo ropinski,4
oliver deussen,4
jo wood,4
ross maciejewski,3
f. david fracchia,3
eugene zhang,3
greg turk,3
lloyd treinish,3
alireza entezari,3
william wright,3
ronald peikert,3
martin rumpf,3
matthew cooper 0001,3
david a. lane,3
miriah d. meyer,3
r. daniel bergeron,3
danielle albers szafir,3
tino weinkauf,3
shixia liu,3
hujun bao,3
tobias schreck,3
anna vilanova,3
yunhai wang,3
michael j. bailey,3
barbora kozlíková,3
eytan adar,3
gérard g. medioni,3
david c. banks,3
nelson l. max,3
luis gustavo nonato,3
marc streit,3
tobias günther,3
kim marriott,3
marcel worring,3
henry fuchs,3
ayellet tal,3
filip sadlo,3
katja bühler,3
andrew j. hanson,3
rahul c. basole,3
tatiana von landesberger,2
richard superfine,2
marie desjardins,2
jonathan d. cohen 0001,2
robert kincaid,2
martin wattenberg,2
jack snoeyink,2
jennifer frazier,2
lars linsen,2
fanny chevalier,2
alan h. barr,2
rosane minghim,2
samuel p. uselton,2
mats lind,2
pheng-ann heng,2
baoquan chen,2
linda pickle,2
hans-georg pagendarm,2
rock leung,2
jinwook seo,2
roberto scopigno,2
david gotz,2
scotland leman,2
klaus h. hinrichs,2
won-ki jeong,2
jos b. t. m. roerdink,2
bruno lévy,2
andreas butz,2
john f. hughes,2
dani lischinski,2
peter wonka,2
david s. thompson,2
peter schröder,2
jens h. krüger,2
kai li 0001,2
marc stamminger,2
dirk bartz,2
thomas schultz 0001,2
e. wes bethel,2
dongmei zhang,2
mennatallah el-assady,2
hendrik strobelt,2
colin ware,2
nan cao,2
dominik fleischmann,2
a. robin forrest,2
katherine e. isaacs,2
rephael wenger,2
heike leitte,2
mary czerwinski,2
m. stella atkins,2
gregory d. abowd,2
kai lawonn,2
michael j. mcguffin,2
matthew chalmers,2
bernd fröhlich 0001,2
aidong lu,2
alex endert,2
sidney w. wang,2
jonathan woodring,2
robert van liere,2
günther greiner,2
robert michael kirby,2
guoning chen,2
holger theisel,2
wei chen 0001,2
donald h. house,2
gregory m. nielson,2
chris weaver,2
jessica hullman,2
steven k. feiner,2
xiaolong zhang 0001,2
lionel m. ni,2
michelle x. zhou,2
mirjam sick,2
ravin balakrishnan,2
christopher g. healey,2
parris k. egbert,2
denis zorin,2
leandro a. f. fernandes,2
heidrun schumann,2
wolfgang kollmann,2
robert kosara,2
julien tierny,2
bjørn olstad,1
jason leboe-mcgowan,1
kelly p. gaither,1
mark janus,1
volker bromm,1
james h. garrett jr.,1
russell h. taylor,1
florence le ber,1
maurizio pizzonia,1
bob fields,1
b. l. william wong,1
stephen j. young,1
john staudhammer,1
james b. salem,1
takeo kanade,1
rolf ernst,1
colin sharp,1
philip k. robertson,1
simone d. j. barbosa,1
william s. cleveland,1
sudhanshu kumar semwal,1
jessie kennedy,1
graham r. brookes,1
michael kerber,1
patrick min,1
g. muccioli,1
gunther h. weber,1
doris dransch,1
marcus wagner,1
eugene stanley,1
edward angel,1
petra isenberg,1
paolo cignoni,1
daniel gubler,1
roger weber,1
