Supervisee,Supervisor,DOI
a. j. fenlon,j. p. r. b. walton,1
a. johannes pretorius,jarke j. van wijk,1
a. mankofsky,d. kamins,1
aaditya g. landge,valerio pascucci,1
aaron barsky,robert kincaid,1
aaron e. lefohn,ross t. whitaker,1
aaron knoll,hans hagen,1
aaron trott,john mcginley,1
abdelkrim mebarki,olivier devillers,1
abdul waheed,diane t. rover,1
abish malik,david s. ebert,2
abish malik,whitney huang,1
adam b. forgang,carl f. cerco,1
adam huang,ronald m. summers,1
adam hunter,jonathan d. cohen 0001,1
adam perer,ben shneiderman,1
aditi majumder,greg welch,1
ahmed saad,torsten möller,1
aidan slingsby,jo wood,1
aidong lu,charles d. hansen,1
aidong lu,david s. ebert,1
aili li,thomas ernst 0001,1
akhilesh camisetty,david koop,1
al globus,t. lasinski,1
alan chu,pheng-ann heng,1
alan keahey,edward l. robertson,2
alan m. maceachren,linda pickle,1
alark joshi,penny rheingans,1
alark joshi,xenophon papademetris,2
alethea bair,colin ware,1
alethea bair,donald h. house,1
alex bigelow,miriah d. meyer,1
alex endert,chris north 0001,2
alex kale,jessica hullman,2
alex t. pang,kyle smith,1
alex t. pang,naim alper,1
alexander gubin,larry brumbaugh,1
alexander kumpf,marc rautenhaus,1
alexander kumpf,rüdiger westermann,1
alexander lex,dieter schmalstieg,2
alexander lex,hanspeter pfister,1
alexander pilhofer,antony unwin,1
alexander wiebel,gerik scheuermann,2
alexandra la cruz,dominik fleischmann,1
alexandre gillet,arthur j. olson,1
alexandru telea,jarke j. van wijk,1
alexis pister,paola valdivia,1
alfred r. fuller,bernd hamann,1
ali k. al-awami,markus hadwiger,2
alice thudt,sheelagh carpendale,1
alireza entezari,torsten möller,2
alisa neeman,alex t. pang,1
alistair morrison,matthew chalmers,2
allan tuchman,george cybenko,1
allen mcpherson,mathew maltrud,1
allen r. martin,matthew o. ward,1
allen r. sanderson,robert michael kirby,1
almir olivette artero,haim levkowitz,1
alper sarikaya,danyel fisher,1
alper sarikaya,michael gleicher,1
