,Paper,Year,Supervisor,Matched Supervisee,Reference
0,10.1109/VISUAL.2003.1250365,2007.0,valerio pascucci,peer-timo bremer,http://www.pascucci.org/pdf-papers/curriculum-pascucci.pdf
1,10.1109/TVCG.2008.110,2007.0,valerio pascucci,attila gyulassy,http://www.pascucci.org/pdf-papers/curriculum-pascucci.pdf
2,10.1109/TVCG.2012.209,2007.0,valerio pascucci,attila gyulassy,http://www.pascucci.org/pdf-papers/curriculum-pascucci.pdf
3,10.1109/TVCG.2014.2346434,2007.0,valerio pascucci,attila gyulassy,http://www.pascucci.org/pdf-papers/curriculum-pascucci.pdf
4,10.1109/TVCG.2015.2467432,2007.0,valerio pascucci,attila gyulassy,http://www.pascucci.org/pdf-papers/curriculum-pascucci.pdf
5,10.1109/TVCG.2018.2864848,2007.0,valerio pascucci,attila gyulassy,http://www.pascucci.org/pdf-papers/curriculum-pascucci.pdf
6,10.1109/TVCG.2013.194,2017.0,daniel weiskopf,kuno kurzhals,https://www.visus.uni-stuttgart.de/en/institute/team/Kurzhals/
7,10.1109/TVCG.2015.2468091,2017.0,daniel weiskopf,kuno kurzhals,https://www.visus.uni-stuttgart.de/en/institute/team/Kurzhals/
8,10.1109/TVCG.2016.2598695,2017.0,daniel weiskopf,kuno kurzhals,https://www.visus.uni-stuttgart.de/en/institute/team/Kurzhals/
9,10.1109/TVCG.2016.2598919,2021.0,daniel weiskopf,christoph schulz,https://www.visus.uni-stuttgart.de/en/institute/team/Schulz-00019/
10,10.1109/TVCG.2017.2744018,2020.0,daniel weiskopf,nils rodrigues,https://www.visus.uni-stuttgart.de/en/institute/team/Rodrigues/
11,10.1109/TVCG.2017.2745181,2021.0,daniel a. keim,manuel stein,https://www.vis.uni-konstanz.de/mitglieder/stein/
12,10.1109/TVCG.2018.2865049,2021.0,daniel a. keim,juri buchmüller,https://www.vis.uni-konstanz.de/mitglieder/buchmueller/
13,10.1109/TVCG.2007.70584,2014.0,cláudio t. silva,carlos scheidegger,https://scholar.google.com/citations?hl=en&user=8uHMJjsAAAAJ&view_op=list_works&sortby=pubdate
14,10.1109/TVCG.2008.160,2014.0,cláudio t. silva,carlos scheidegger,https://scholar.google.com/citations?hl=en&user=8uHMJjsAAAAJ&view_op=list_works&sortby=pubdate
15,10.1109/TVCG.2008.174,2014.0,cláudio t. silva,david koop,https://faculty.cs.niu.edu/~dakoop/
16,10.1109/TVCG.2009.194,2016.0,cláudio t. silva,tiago etiene,https://scholar.google.com/citations?hl=en&user=6_lARekAAAAJ&view_op=list_works&sortby=pubdate
17,10.1109/TVCG.2009.195,2019.0,cláudio t. silva,emanuele santos,https://emanueles.github.io/publications/
18,10.1109/TVCG.2011.176,2021.0,cláudio t. silva,nivan ferreira,https://www.cin.ufpe.br/~nivan/
19,10.1109/TVCG.2013.226,2021.0,cláudio t. silva,nivan ferreira,https://www.cin.ufpe.br/~nivan/
20,10.1109/TVCG.2014.2346755,2021.0,cláudio t. silva,jorge poco,https://vgc.poly.edu/~jpocom/
21,10.1109/SciVis.2015.7429486,2021.0,cláudio t. silva,jorge poco,https://vgc.poly.edu/~jpocom/
22,10.1109/VAST.2015.7347636,2021.0,cláudio t. silva,nivan ferreira,https://www.cin.ufpe.br/~nivan/
23,10.1109/TVCG.2017.2743980,2020.0,cláudio t. silva,alexander bock,http://alexanderbock.eu/
24,10.1109/TVCG.2019.2934280,2021.0,cláudio t. silva,gromit yeuk-yin chan,http://gromitchan.com/research.html
25,10.1109/VISUAL.1999.809878,2002.0,thomas ertl,klaus engel,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
26,10.1109/VISUAL.1999.809934,2004.0,thomas ertl,matthias hopf,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
27,10.1109/VISUAL.2001.964512,2005.0,thomas ertl,manfred weiler,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
28,10.1109/VISUAL.2001.964514,2003.0,thomas ertl,martin kraus,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
29,10.1109/VISUAL.2002.1183829,2006.0,thomas ertl,simon stegmaier,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
30,10.1109/VISUAL.2003.1250390,2005.0,thomas ertl,manfred weiler,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
